Month,Mean Temp (°C),Conductivity,Total Precip (mm),Turbidity,Total Snow (cm),Cool Deg Days (°C),Spd of Max Gust (km/h)
2002-06,0.9586836119991852,2.3984362668967076,-1.067547525744069,0.11223012387468528,-0.06073765455625637,-0.6023584810751583,0.15963214096293268
2002-07,2.130322514385815,2.3160969308856596,-1.933728988858164,0.4283184414350642,0.4214297033211506,-0.5780204777100566,-0.3601203711560863
2002-08,3.349261318222135,0.5941770617618144,-0.9390185169304772,0.37575621869657366,0.06605398821469691,0.6329094788581583,0.15832314676120005
2002-09,2.3044710152227283,0.5334341686580657,-0.17588251006261715,0.4529018821519544,-0.14854354198209402,-0.2616198808774237,0.09038152019005231
2002-10,0.3402067248573659,0.3177650470108351,0.154480997863068,-0.33292390707856373,-0.45204348719993565,-0.32039089525098535,0.2809613037790565
2002-11,-1.0380908133049471,0.40507424277741416,0.6242466893899439,-0.5083076408050976,-0.21286996336270547,-0.06246361570837382,-0.013736875963207835
2002-12,-2.4788682534544573,0.1888232005174744,-0.07883671492936209,-0.4354620811118052,-0.1260883813736954,0.2557710607694798,0.06393936505043775
2003-01,-4.486025104275313,0.24481231571023254,-0.5619400366474856,1.3473591002058631,0.5012855142787858,0.7440066479262013,0.2191145293362725
2003-02,-4.336814970722403,0.5350167236851976,-0.35484000983844294,1.177804167955623,0.09354585065599544,0.7897824834174516,0.3712362496887448
2003-03,-3.5346722669489816,0.42658830348855103,-0.478962175673124,1.0976773465071712,-0.10649468607007359,0.5806341012757175,0.3627412519284162
2003-04,-1.372401121187827,0.3131831539366997,0.20613010357967218,-0.9955850005998547,-0.32495636341561124,0.02483746380330349,0.1422237940322098
2003-05,0.2863664166223656,0.2116643730738982,0.04283252675017718,-0.4202966243798461,-0.4386651300103934,-0.37036829638134744,0.22956531321709672
2003-06,1.9266896103350242,0.537317653944368,-0.22207873799531147,0.1987562689180808,-0.23349963241093183,-0.08558719940285973,0.2552267567094438
2003-07,3.6157679265785445,0.31371652391812416,-0.6850325172906301,0.12763607697841065,0.03573066564083009,1.36797131776143,0.02168415231414924
2003-08,3.3033977706695,0.45038244163015795,-0.29320918567613374,0.4624414506870646,-0.12095006838525982,0.6607770680782115,0.23562444801237123
2003-09,2.4689150656557137,0.395805932078577,-0.5197816290718985,0.4622302609062034,-0.18078364954842055,-0.12919260374011085,0.48175031001675445
2003-10,0.9147260762238029,0.6136574604314725,0.15879251093976218,0.07877861872110502,-0.38864451249114446,-0.5274748377066322,0.19989099849484884
2003-11,-0.4660021162510785,0.27900345893127615,0.02250814226841586,-0.6729523389802021,-0.43572693834617404,-0.23635893895329962,0.041849763174563064
2003-12,-1.613508554759387,0.36260940648161777,0.2982963680556358,-0.8886945306408548,-0.27161773017724566,0.07844199325954128,0.09011545657708844
2004-01,-4.066829754053453,0.07452792580185827,-0.5948922744591912,0.04591415454434047,-0.0035914236718255005,0.5925090740502352,0.030082595230325474
2004-02,-3.7730139867448775,0.22445982168015216,-0.7078050536202335,1.2040735850266868,0.015917176521702974,0.5150831596519504,-0.0031584791181634075
2004-03,-3.309785541597478,0.3743168473198283,-0.7115178375966572,1.5172299198452324,0.003093354209683866,0.45268498544189845,0.19282429294397627
2004-04,-1.0478716477643306,0.5006754929213441,0.3059124713060097,-0.46103732188772867,-0.5463883120891901,-0.0018406566028183388,0.20158914117392274
2004-05,0.41830785817564775,0.11025458328164763,0.032697972386905756,-0.363044491643158,-0.4220205725117929,-0.4132341222180934,0.23952789114548645
2004-06,1.4130166925876542,0.38157436167094244,-0.29697139267705175,0.1354530225778214,-0.3491241002395889,-0.421851872836429,0.5396685106230802
2004-07,3.18340649541879,0.464389771189645,-0.4711960438617254,0.3308470549286269,-0.06313901447908164,0.7091051875276049,0.1655798699373803
2004-08,3.588452673456191,0.5325543617240625,-0.3936438076948266,0.38789524789661717,0.0036306374387062718,0.9747209700227785,-0.010865255149163946
2004-09,1.8742617628838854,0.4627490794075176,-0.4017710602224061,0.3619316288686725,-0.24805061051255536,-0.520496209738745,0.38196972200646895
2004-10,0.8354190764583584,0.4388869954419237,-0.25462088833513,-0.05551513548757956,-0.34924182184298735,-0.5148402707248413,0.358977443820704
2004-11,-1.1341962796784975,0.4122077210044666,0.1552628035783267,-0.1411404016817367,-0.40868256452797996,-0.08504299452142082,-0.07243647852591921
2004-12,-2.1424042840701096,0.271105487918112,0.5574984957441912,-0.8406708838754581,-0.021392024687856337,0.18467639359920057,-0.017589541340189307
2005-01,-3.8244167388694903,-0.9318335800688994,0.033753943777381216,0.394137573126684,-0.14768617667712144,0.5416015260092799,-0.16954810076782412
2005-02,-3.3880814014325984,-0.8666420028380806,-0.23264914904674616,1.0021194146789305,-0.15052665686788733,0.4382543650679062,-0.07026879889878516
2005-03,-2.3420932071920397,-0.7790478435041904,0.11095553136646046,0.14931515233301534,-0.06279696905782162,0.17594528606292237,-0.14859197925376652
2005-04,-0.20564340774372447,-0.6248398442811338,0.7802643592228119,-0.7473015362733255,0.6894340934996188,-0.2735246483381891,0.2609909783174548
2005-05,0.443906778743139,-0.5597914069182218,1.0027884077543265,-0.4738346092477066,1.029950000092878,-0.3810032672038334,0.4887962404981075
2005-06,2.1783353450375773,-0.7501148838218449,0.2804762983073262,0.0077222090266074244,1.150615873527338,-0.16868739739636004,0.49206882968070625
2005-07,3.048203848251176,-0.722447286126914,0.19775027530625067,0.24784715353287065,1.1303720945539726,0.2302046959815063,0.7242693789388988
2005-08,3.2749088825511636,-0.46982843779331857,0.203044876714025,0.2566567070664827,1.1931576567102482,0.5178487083680064,0.6922037387373019
2005-09,2.3209675298799692,-0.5559599138096742,0.22602589386680563,0.32655860943942844,1.0795748796227933,-0.5135015297706992,0.8145553319244954
2005-10,1.13733115620213,-0.5646312708229873,0.8844711350567146,-0.10589646745779013,0.8707721788572198,-0.4160745206680685,0.6325165512509013
2005-11,-0.17722183779276177,-0.6813806630560375,0.99451429109177,-0.8024186962654287,0.8043009282277391,-0.24744483642257895,0.3236088039487095
2005-12,-1.9992334263648357,-0.8038336095194261,0.6506365436899025,-0.49372969699676783,0.17057369728007923,0.10464483131449906,-0.16496537441277456
2006-01,-2.0640141278943402,-0.11224861819742564,0.2096547377676249,-0.7846288651839973,-0.10885379323419962,0.12229528943151664,-0.06339284056724094
2006-02,-2.812062396512655,-0.13154690982855588,-0.14114810566531397,-0.43009876967106336,-0.026468120171637174,0.2783718045955869,-0.05128753577013478
2006-03,-1.6222839132749534,0.13198778388680527,-0.42722832139893163,-0.9410931444889035,0.23395933244542433,-0.09885260494708822,-0.1849504877983385
2006-04,-0.42116338066049824,-0.04490182476579201,0.610373159444812,-0.908021522854584,0.9837857225975608,-0.2951637338466397,0.18322154915842426
2006-05,1.146787688353974,0.22606777885691481,0.011491349343234177,-0.11326070970766254,1.2664616429885935,-0.6997188594711615,0.19648185115564584
