Location,Date,Mean Temp (°C),Total Rain (mm),pH,Total Snow (cm),Cool Deg Days (°C),Spd of Max Gust (km/h),Snow on Grnd (cm)
Kelley,2004-12-17,-2.029651193531912,-0.5814353615253143,-0.5573235096607109,-0.810041134417822,0.08116414411569564,-1.0257917959660237,-0.5232964582568237
Kelley,2004-12-18,-3.639518873943193,-0.23886115925826787,-1.0650915982223028,2.158724379744889,3.1268393537514276,-0.5894026586432021,-1.5549018415202558
Kelley,2004-12-19,-3.570811234355096,0.5748244211965292,-1.545401071736191,2.880250327881319,3.261231725798091,0.3257254910882672,-0.02546601778824591
Kelley,2004-12-20,-2.203796877305281,-0.872658806456156,-0.6462331964106136,-0.8136316531472982,0.30157554041674006,-0.7584442174090934,0.39829084001274107
Kelley,2004-12-21,-3.0313068531751988,-0.6209939588197418,-0.7974479159202521,-1.0335041412101236,0.07107482194204919,-0.9013743781186823,-0.6723930555571443
Kelley,2004-12-22,-2.7758333797905737,-0.4080030320350494,-0.6345548201354531,-0.8590333058834595,-0.17215268161211283,-0.7296005274335203,-1.0314122652827151
Kelley,2004-12-23,-1.8257557473932335,0.5719404848983256,-1.4981752880020032,3.0854894052284783,3.3519757844143188,-0.34040563186822803,-0.17336863853998685
Kelley,2004-12-24,-0.9586827119486475,-0.051243689983904064,-1.0080358202932174,-0.36321817845599996,0.19618347703239247,-1.2449999641696439,-0.21125201693861304
Kelley,2004-12-25,-3.2821073812159374,-0.5865363791393381,-0.9986064168552838,-1.1200706832470517,0.045589430647716235,-1.0073857653936833,-0.9413340303827472
Kelley,2004-12-26,-3.953021932920539,0.5262450648739685,-1.8105272889424675,2.534576087580827,2.9567940107259543,-0.23770356370015341,-1.6116913000402702
Kelley,2004-12-27,-4.257532161375868,0.7111931656787756,-1.8109589075857917,-0.3288647061125686,0.1668569524864667,0.30585746402429154,0.7552159424716972
Kelley,2004-12-28,-3.999718382279109,-0.4825037896762827,-0.7972720555961789,-0.837940438011413,0.01139148052620759,0.08308153103148688,0.2295536437452796
Kelley,2004-12-29,-3.730872032200379,-0.6520031044876314,-0.6753646991913096,-0.956229928173251,-0.0743438592460869,-0.21541359969593663,-0.28796429041164734
Kelley,2004-12-30,-3.62540002114164,-0.5864206964328442,-0.7356234646973794,-1.007244938606512,-0.16628319776210057,-0.49480742402421213,-0.8361180136950227
Kelley,2004-12-31,-3.022652215563994,0.03644717498567503,-1.0364758635436542,-0.465016618577029,-0.13745080526783623,-0.1470694449064708,-0.17296769559688385
Kelley,2005-01-01,-1.1480836748552166,-0.7172687888281847,-0.4867415636473338,-0.637627436886241,0.10720196929526885,-1.1573491213576756,-0.281608878272835
Kelley,2005-01-02,-3.424008117880784,-0.15630544081610276,-1.0700906767143048,2.4017521855046744,2.9105597262016394,-0.17811138149966532,-1.4751500099654582
Kelley,2005-01-03,-2.541634186225566,-0.5923456483546669,-0.7950529584805265,-0.949221423474537,0.10069740238266497,-1.0650928575778607,-0.6524098013468849
Kelley,2005-01-04,-2.6190823657312876,-0.750404611080132,-0.7433448145884739,-0.99295330565998,0.25150321235133466,-1.0071143421684037,-0.20668905766788695
